d_lbmda, real(z12), imag(z12)
0.1, 79.62942120875617, 0.5359458032480404
0.14974874371859298, 68.95534055227003, -16.18630693504073
0.19949748743718593, 56.50741279017019, -29.15191505418597
0.2492462311557789, 42.82362905979707, -38.374796677793604
0.2989949748743719, 28.584082727573858, -43.8232311314996
0.3487437185929648, 14.559914911894253, -45.59205272643531
0.39849246231155777, 1.5261120775042656, -43.962779730716335
0.44824120603015083, -9.822904766377263, -39.404898002137074
0.4979899497487438, -18.938649651880695, -32.540112186125974
0.5477386934673367, -25.457335815058087, -24.087540444176877
0.5974874371859297, -29.213049031094016, -14.805298490477803
0.6472361809045226, -30.232218342566185, -5.438067443442343
0.6969849246231156, -28.71720115535485, 3.3265879191247265
0.7467336683417085, -25.023747868560967, 10.894827535298916
0.7964824120603016, -19.633009159615995, 16.798308919807575
0.8462311557788945, -13.1164195948094, 20.72094089594175
0.8959798994974875, -6.0924324423285015, 22.517310368991602
0.9457286432160804, 0.8233396697242625, 22.217599163200802
0.9954773869346734, 7.066464908183406, 20.019315812425376
1.0452261306532664, 12.165256425894455, 16.26303308405302
1.0949748743718595, 15.783569138240196, 11.386117359020488
1.1447236180904523, 17.72767721328725, 5.888974738788228
1.1944723618090454, 17.955833384469983, 0.2861909587972278
1.2442211055276384, 16.570409671061142, -4.934066639827371
1.2939698492462313, 13.801126752565736, -9.346677330496505
1.3437185929648243, 9.98011587808864, -12.620081395620275
1.3934673366834172, 5.509994647981102, -14.539068629888654
1.4432160804020102, 0.8267384797394328, -15.017806398622739
1.4929648241206033, -3.639673897633841, -14.101351486202468
1.542713567839196, -7.502875247682368, -11.955153735955612
1.5924623115577892, -10.45195852012705, -8.84387188870027
1.642211055276382, -12.274531455418185, -5.102375278997407
1.691959798994975, -12.86951682122897, -1.1024960087126274
1.7417085427135681, -12.249664899648465, 2.7811107571228533
1.791457286432161, -10.534593397671756, 6.203298808086494
1.841206030150754, -7.935491999177771, 8.876835423401715
1.8909547738693468, -4.732804662130022, 10.595026129838367
1.94070351758794, -1.2485830292080493, 11.246824397249569
1.990452261306533, 2.184167675528556, 10.823016300280635
2.040201005025126, 5.252233855137817, 9.412841450509752
2.089949748743719, 7.689929433021973, 7.191544712751792
2.139698492462312, 9.30113857385183, 4.400494317715278
2.1894472361809045, 9.97386910159058, 1.3222733333963959
2.2391959798994976, 9.686538874756408, -1.7466058323090508
2.2889447236180906, 8.506056135390565, -4.522879658678811
2.3386934673366837, 6.578315467728302, -6.76143497932101
2.3884422110552768, 4.112126961556683, -8.276041545884745
2.4381909547738694, 1.3580005372709394, -8.954266372246387
2.4879396984924624, -1.416318717896516, -8.765274884727312
